Name,ID
Human astrovirus BF34,NC_024472
Human astrovirus,NC_001943
Human betaherpesvirus 5,NC_006273
Human betaherpesvirus 6A,NC_001664
Human betaherpesvirus 6B,NC_000898
Human betaherpesvirus 7,NC_001716
Human bocavirus 2c PK,NC_012042
Human bocavirus 3,NC_012564
Human bocavirus 4 NI,NC_012729
Human circovirus VS6600022,NC_024694
Human coronavirus 229E,NC_002645
Human coronavirus HKU1,NC_006577
Human coronavirus NL63,NC_005831
Human coronavirus OC43,NC_006213
Human cosavirus B,NC_012801
Human cosavirus,NC_023984
Human cyclovirus VS5700009,NC_021568
Human DNA virus,NC_040309
Human endogenous retrovirus K113,NC_022518
Human erythrovirus V9,NC_004295
Human fecal virus Jorvi2,NC_035212
Human fecal virus Jorvi3,NC_035213
Human fecal virus Jorvi4,NC_035211
Human feces pecovirus,NC_040306
Human feces smacovirus 2,NC_039070
Human feces smacovirus 3,NC_035474
Human gammaherpesvirus 4,NC_007605
Human gammaherpesvirus 8,NC_009333
Human gemycircularvirus GeTz1,NC_038497
Human genital-associated circular DNA virus-1,NC_026817
Human hepegivirus,NC_038436
Human herpesvirus 4 type 2,NC_009334
Human immunodeficiency virus 1,NC_001802
Human immunodeficiency virus 2,NC_001722
Human lung-associated vientovirus FB,NC_055523
Human mastadenovirus A,AC_000005
Human mastadenovirus A,NC_001460
Human mastadenovirus B,NC_011202
Human mastadenovirus B,NC_011203
Human mastadenovirus C,NC_001405
Human mastadenovirus D,AC_000006
Human mastadenovirus D,NC_010956
Human mastadenovirus E,NC_003266
Human mastadenovirus F,NC_001454
Human metapneumovirus,NC_039199
Human orthopneumovirus,NC_001781
Human orthopneumovirus,NC_038235
Human orthorubulavirus 2,NC_003443
human papillomavirus 103,NC_008188
human papillomavirus 108,NC_012213
Human papillomavirus 109,NC_012485
Human papillomavirus 116,NC_013035
Human papillomavirus 121,NC_014185
Human papillomavirus 126,NC_016157
Human papillomavirus 127,NC_014469
Human papillomavirus 132,NC_014955
Human papillomavirus 134,NC_014956
Human papillomavirus 135,NC_017993
Human papillomavirus 136,NC_017994
Human papillomavirus 140,NC_017996
Human papillomavirus 154,NC_021483
human papillomavirus 163,NC_028125
human papillomavirus 166,NC_019023
Human papillomavirus 167,NC_022892
Human papillomavirus 172,NC_038523
Human papillomavirus 175,NC_038524
Human papillomavirus 178,NC_023891
Human papillomavirus 179,NC_022095
Human papillomavirus 184,NC_038914
Human papillomavirus 187,NC_039086
Human papillomavirus 201,NC_027528
Human papillomavirus 204,NC_038525
human papillomavirus 30,NC_038889
Human papillomavirus 4,NC_001457
Human papillomavirus 5,NC_001531
human papillomavirus 71,NC_039089
Human papillomavirus 9,NC_001596
Human papillomavirus KC5,NC_026946
Human papillomavirus type 10,NC_001576
Human papillomavirus type 101,NC_008189
Human papillomavirus type 112,NC_012486
Human papillomavirus type 128,NC_014952
Human papillomavirus type 129,NC_014953
Human papillomavirus type 131,NC_014954
Human papillomavirus type 137,NC_017995
Human papillomavirus type 144,NC_017997
Human papillomavirus type 156,NC_033781
Human papillomavirus type 16,NC_001526
Human papillomavirus type 161,NC_038522
Human papillomavirus type 26,NC_001583
Human papillomavirus type 32,NC_001586
Human papillomavirus type 34,NC_001587
Human papillomavirus type 41,NC_001354
Human papillomavirus type 48,NC_001690
Human papillomavirus type 49,NC_001591
Human papillomavirus type 50,NC_001691
Human papillomavirus type 53,NC_001593
Human papillomavirus type 54,NC_001676
Human papillomavirus type 60,NC_001693
Human papillomavirus type 63,NC_001458
Human papillomavirus type 6b,NC_001355
Human papillomavirus type 7,NC_001595
Human papillomavirus type 85,NC_034616
Human papillomavirus type 88,NC_010329
Human papillomavirus type 90,NC_004104
Human papillomavirus type 92,NC_004500
Human papillomavirus type 96,NC_005134
Human papillomavirus,NC_027779
Human parainfluenza virus 4a,NC_021928
Human parechovirus 1,NC_038319
Human parvovirus 4 G1,NC_007018
Human parvovirus B19,NC_000883
Human pegivirus 2,NC_027998
Human picobirnavirus,NC_007026
Human picobirnavirus,NC_007027
